UID,code3,FIPS,Admin2,Province_State,3/31/21
84080013,840,80013,Out of GA,Georgia,29100
84013223,840,13223,Paulding,Georgia,15789
84013225,840,13225,Peach,Georgia,2535
84013227,840,13227,Pickens,Georgia,3256
84013229,840,13229,Pierce,Georgia,2369
84013231,840,13231,Pike,Georgia,2160
84013233,840,13233,Polk,Georgia,5447
84013235,840,13235,Pulaski,Georgia,903
84013237,840,13237,Putnam,Georgia,2108
84013239,840,13239,Quitman,Georgia,162
84013241,840,13241,Rabun,Georgia,1624
84013243,840,13243,Randolph,Georgia,618
84013245,840,13245,Richmond,Georgia,23525
84013247,840,13247,Rockdale,Georgia,7189
84013249,840,13249,Schley,Georgia,338
84013251,840,13251,Screven,Georgia,938
84013253,840,13253,Seminole,Georgia,924
84013255,840,13255,Spalding,Georgia,5922
84013257,840,13257,Stephens,Georgia,3041
84013259,840,13259,Stewart,Georgia,879
84013261,840,13261,Sumter,Georgia,2505
84013263,840,13263,Talbot,Georgia,466
84013265,840,13265,Taliaferro,Georgia,122
84013267,840,13267,Tattnall,Georgia,2264
84013269,840,13269,Taylor,Georgia,778
84013271,840,13271,Telfair,Georgia,1261
84013273,840,13273,Terrell,Georgia,786
84013275,840,13275,Thomas,Georgia,4304
84013277,840,13277,Tift,Georgia,4777
84013279,840,13279,Toombs,Georgia,3294
84013281,840,13281,Towns,Georgia,1171
84013283,840,13283,Treutlen,Georgia,837
84013285,840,13285,Troup,Georgia,7260
84013287,840,13287,Turner,Georgia,983
84013289,840,13289,Twiggs,Georgia,699
84090013,840,90013,Unassigned,Georgia,3311
84013291,840,13291,Union,Georgia,2139
84013293,840,13293,Upson,Georgia,3341
84013295,840,13295,Walker,Georgia,6967
84013297,840,13297,Walton,Georgia,10176
84013299,840,13299,Ware,Georgia,4735
84013301,840,13301,Warren,Georgia,511
84013303,840,13303,Washington,Georgia,1993
84013305,840,13305,Wayne,Georgia,3454
84013307,840,13307,Webster,Georgia,141
84013309,840,13309,Wheeler,Georgia,617
84013311,840,13311,White,Georgia,3090
84013313,840,13313,Whitfield,Georgia,16397
84013315,840,13315,Wilcox,Georgia,815
84013317,840,13317,Wilkes,Georgia,1063
84013319,840,13319,Wilkinson,Georgia,913
84013321,840,13321,Worth,Georgia,1722
84099999,840,99999,,Grand Princess,103
316,316,66,,Guam,7807
84015001,840,15001,Hawaii,Hawaii,2517
84015003,840,15003,Honolulu,Hawaii,23463
84015005,840,15005,Kalawao,Hawaii,0
84015007,840,15007,Kauai,Hawaii,194
84015009,840,15009,Maui,Hawaii,3605
84080015,840,80015,Out of HI,Hawaii,975
84090015,840,90015,Unassigned,Hawaii,0
84016001,840,16001,Ada,Idaho,49189
84016003,840,16003,Adams,Idaho,333
84016005,840,16005,Bannock,Idaho,8414
84016007,840,16007,Bear Lake,Idaho,367
84016009,840,16009,Benewah,Idaho,646
84016011,840,16011,Bingham,Idaho,4658
84016013,840,16013,Blaine,Idaho,2266
84016015,840,16015,Boise,Idaho,322
84016017,840,16017,Bonner,Idaho,3098
84016019,840,16019,Bonneville,Idaho,14097
84016021,840,16021,Boundary,Idaho,843
84016023,840,16023,Butte,Idaho,205
84016025,840,16025,Camas,Idaho,71
84016027,840,16027,Canyon,Idaho,25587
84016029,840,16029,Caribou,Idaho,657
84016031,840,16031,Cassia,Idaho,2901
84016033,840,16033,Clark,Idaho,56
84016035,840,16035,Clearwater,Idaho,1029
84016037,840,16037,Custer,Idaho,242
84016039,840,16039,Elmore,Idaho,1772
84016041,840,16041,Franklin,Idaho,1147
84016043,840,16043,Fremont,Idaho,1083
84016045,840,16045,Gem,Idaho,1732
84016047,840,16047,Gooding,Idaho,1286
